ticket_id,customer_name,subject,body,category,priority,channel,created_at,resolved_at,resolution_notes,csat_score,_true_root_cause
07d80414,Sam,Reset link says expired immediately after I click it,"Reset link says expired immediately after I click it. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,phone,2026-04-10T05:00:00,2026-04-12T10:00:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_password_reset_loop
ae558c91,Diego,Exported report doesn't match what I see in the dashboard,"Exported report doesn't match what I see in the dashboard. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,low,phone,2026-06-04T15:16:00,2026-06-04T22:16:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_export_missing_data
f708fad8,Jamie,"Requested a new password 6 times, nothing in my inbox","Requested a new password 6 times, nothing in my inbox. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,high,chat,2026-04-11T12:55:00,2026-04-13T04:55:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_password_reset_loop
cd9d0671,Priya,Onboarding checklist is stuck at step 2 for no reason,"Onboarding checklist is stuck at step 2 for no reason. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,high,chat,2026-06-05T11:01:00,2026-06-07T10:01:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_onboarding_confusion
586c78d9,Alex,Reset link takes me to an error page,"Reset link takes me to an error page. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,web_form,2026-04-15T14:07:00,2026-04-16T10:07:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_password_reset_loop
226810a8,Omar,API key seems valid but every request fails,API key seems valid but every request fails. This broke our production integration with no warning.,Technical / Bug,low,phone,2026-06-24T21:22:00,2026-06-25T19:22:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_api_rate_limit_unclear
9122f21d,Lucas,"Integration broke overnight, API returns errors now","Integration broke overnight, API returns errors now. This broke our production integration with no warning.",Technical / Bug,high,phone,2026-05-19T15:00:00,2026-05-21T13:00:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_api_rate_limit_unclear
31a9d718,Wei,API key seems valid but every request fails,API key seems valid but every request fails. This broke our production integration with no warning.,Technical / Bug,urgent,web_form,2026-06-23T03:53:00,2026-06-25T18:53:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_api_rate_limit_unclear
676653b6,Morgan,"Locked out of my account, reset flow is broken","Locked out of my account, reset flow is broken. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,email,2026-05-23T10:34:00,2026-05-25T22:34:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_password_reset_loop
40638027,Grace,"How do I turn off notifications, settings page doesn't save","How do I turn off notifications, settings page doesn't save. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,low,phone,2026-05-02T04:41:00,2026-05-02T05:41:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_notification_spam
6a15f969,Noah,"Coupon SAVE10 worked yesterday, now it says expired","Coupon SAVE10 worked yesterday, now it says expired. I double checked the code is correct, copy-pasted it directly from your email.",Billing,high,phone,2026-05-26T04:56:00,2026-05-27T14:56:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
c1a779d0,Omar,Confused about what to do after signing up,"Confused about what to do after signing up. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,high,email,2026-06-07T23:17:00,2026-06-10T20:17:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_onboarding_confusion
16094720,Elena,Exported report doesn't match what I see in the dashboard,"Exported report doesn't match what I see in the dashboard. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,high,web_form,2026-04-18T16:18:00,2026-04-19T22:18:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_export_missing_data
ed5d91c1,Alex,Billed for a plan I already cancelled,"Billed for a plan I already cancelled. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,medium,email,2026-05-03T05:07:00,2026-05-03T09:07:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
46dcbf1e,Drew,Export button spins forever and never downloads anything,"Export button spins forever and never downloads anything. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,medium,email,2026-06-18T23:37:00,2026-06-20T06:37:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_export_missing_data
4d8346b6,Grace,CSV export is missing half my records,"CSV export is missing half my records. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,low,web_form,2026-04-26T02:37:00,2026-04-27T10:37:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_export_missing_data
2b146655,Grace,Invoice total doesn't match what the pricing page says,"Invoice total doesn't match what the pricing page says. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,urgent,web_form,2026-04-20T14:04:00,2026-04-23T03:04:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
7289adcf,Priya,Applied WELCOME20 and got charged full price anyway,"Applied WELCOME20 and got charged full price anyway. I double checked the code is correct, copy-pasted it directly from your email.",Billing,low,web_form,2026-04-20T02:18:00,2026-04-20T15:18:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_checkout_promo_fail
c29f7548,Morgan,Charged for 6 seats but we only have 1 users,"Charged for 6 seats but we only have 1 users. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,low,phone,2026-06-11T21:51:00,2026-06-13T19:51:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_invoice_confusion
f052f51b,Morgan,"Can't log in, reset password page just spins forever","Can't log in, reset password page just spins forever. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,email,2026-04-27T16:30:00,2026-04-29T13:30:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_password_reset_loop
dca36302,Drew,Checkout won't accept any promo code I try,"Checkout won't accept any promo code I try. I double checked the code is correct, copy-pasted it directly from your email.",Billing,high,phone,2026-05-07T22:13:00,2026-05-10T13:13:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
1b90472a,Sam,"Getting way too many notification emails, please stop","Getting way too many notification emails, please stop. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,low,chat,2026-06-07T13:49:00,2026-06-09T18:49:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_notification_spam
c817c036,Fatima,Reset link says expired immediately after I click it,"Reset link says expired immediately after I click it. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,high,web_form,2026-05-09T18:46:00,2026-05-09T20:46:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_password_reset_loop
99ab0d3d,Casey,Mobile app closes itself when I attach a file,"Mobile app closes itself when I attach a file. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,high,chat,2026-05-13T13:51:00,2026-05-14T21:51:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_mobile_upload_crash
1ce1c34d,Jamie,Promo code WELCOME20 says invalid but it's active on your site,"Promo code WELCOME20 says invalid but it's active on your site. I double checked the code is correct, copy-pasted it directly from your email.",Billing,medium,phone,2026-04-03T14:20:00,2026-04-05T20:20:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_checkout_promo_fail
d18337d0,Drew,Mobile app closes itself when I attach a file,"Mobile app closes itself when I attach a file. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,low,chat,2026-06-20T09:39:00,2026-06-23T06:39:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_mobile_upload_crash
b9d9615b,Elena,"Not sure how to set up my first project, no guidance","Not sure how to set up my first project, no guidance. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,high,chat,2026-05-24T15:29:00,2026-05-25T18:29:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_onboarding_confusion
ffb5640b,Casey,CSV export is missing half my records,"CSV export is missing half my records. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,high,chat,2026-06-05T06:57:00,2026-06-07T03:57:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_export_missing_data
0bd2bd5b,Diego,Photo upload freezes and then app quits,"Photo upload freezes and then app quits. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,high,phone,2026-05-11T05:25:00,2026-05-12T20:25:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_mobile_upload_crash
8587371d,Drew,Charged for 3 seats but we only have 2 users,"Charged for 3 seats but we only have 2 users. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,low,phone,2026-06-18T21:24:00,2026-06-20T17:24:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
ddcfcc7f,Fatima,"Where do I invite my team, can't find the option","Where do I invite my team, can't find the option. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,low,web_form,2026-05-31T00:47:00,2026-06-02T22:47:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_onboarding_confusion
e2b4a704,Grace,"Export only includes data from the last 7 days, I need 90","Export only includes data from the last 7 days, I need 90. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,urgent,chat,2026-06-07T14:00:00,2026-06-08T09:00:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_export_missing_data
be0a4bb9,Lucas,Why was I charged twice this month?,"Why was I charged twice this month?. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,medium,phone,2026-04-29T16:47:00,2026-05-02T11:47:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
92c8b837,Priya,"Too many emails, I already turned these off once","Too many emails, I already turned these off once. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,urgent,chat,2026-04-23T12:20:00,2026-04-25T02:20:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_notification_spam
4b526452,Fatima,"Not sure how to set up my first project, no guidance","Not sure how to set up my first project, no guidance. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,low,phone,2026-05-29T22:58:00,2026-05-31T21:58:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_onboarding_confusion
4375568e,Alex,"Can't log in, reset password page just spins forever","Can't log in, reset password page just spins forever. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,medium,phone,2026-06-11T07:36:00,2026-06-14T02:36:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_password_reset_loop
60d473c2,Casey,Promo code SAVE10 says invalid but it's active on your site,"Promo code SAVE10 says invalid but it's active on your site. I double checked the code is correct, copy-pasted it directly from your email.",Billing,low,chat,2026-04-09T12:31:00,2026-04-09T22:31:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
23cd739d,Jordan,Is there a Zapier integration,"Is there a Zapier integration. Just curious, not urgent.",General Inquiry,low,chat,2026-05-21T09:00:00,2026-05-23T03:00:00,"Answered directly, no follow-up needed.",5,none
d73e288e,Morgan,Request to change account email address,"Request to change account email address. Just curious, not urgent.",General Inquiry,low,chat,2026-05-09T04:00:00,2026-05-10T05:00:00,"Answered directly, no follow-up needed.",4,none
453d9579,Jamie,"Integration broke overnight, API returns errors now","Integration broke overnight, API returns errors now. This broke our production integration with no warning.",Technical / Bug,urgent,web_form,2026-05-24T23:06:00,2026-05-26T16:06:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_api_rate_limit_unclear
83073ff0,Omar,Onboarding checklist is stuck at step 2 for no reason,"Onboarding checklist is stuck at step 2 for no reason. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,high,web_form,2026-06-23T06:48:00,2026-06-24T19:48:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_onboarding_confusion
e2d05bf8,Riley,Setup wizard closed itself before I finished,"Setup wizard closed itself before I finished. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,urgent,chat,2026-06-27T15:26:00,2026-06-30T00:26:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_onboarding_confusion
d2e35c97,Fatima,Promo code LOYAL15 says invalid but it's active on your site,"Promo code LOYAL15 says invalid but it's active on your site. I double checked the code is correct, copy-pasted it directly from your email.",Billing,urgent,web_form,2026-05-18T21:47:00,2026-05-20T07:47:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_checkout_promo_fail
0e3dd5cf,Drew,Asking about data residency for EU customers,"Asking about data residency for EU customers. Just curious, not urgent.",General Inquiry,low,email,2026-05-11T04:00:00,2026-05-11T20:00:00,"Answered directly, no follow-up needed.",4,none
d521a54f,Drew,Billed for a plan I already cancelled,"Billed for a plan I already cancelled. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,low,web_form,2026-04-12T02:05:00,2026-04-14T10:05:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
5ea82ed9,Fatima,Upload gets stuck at 5% then app force closes,"Upload gets stuck at 5% then app force closes. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,medium,email,2026-06-12T06:37:00,2026-06-15T04:37:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_mobile_upload_crash
a4cef905,Jordan,Exported report doesn't match what I see in the dashboard,"Exported report doesn't match what I see in the dashboard. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,medium,web_form,2026-06-03T20:28:00,2026-06-04T03:28:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_export_missing_data
3a12d7cf,Jordan,"Integration broke overnight, API returns errors now","Integration broke overnight, API returns errors now. This broke our production integration with no warning.",Technical / Bug,low,phone,2026-05-12T03:49:00,2026-05-14T07:49:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_api_rate_limit_unclear
90ef9cee,Lucas,Why was I charged twice this month?,"Why was I charged twice this month?. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,high,email,2026-06-13T13:11:00,2026-06-14T00:11:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_invoice_confusion
af993b2d,Drew,"Requested a new password 5 times, nothing in my inbox","Requested a new password 5 times, nothing in my inbox. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,email,2026-06-10T12:27:00,2026-06-11T12:27:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_password_reset_loop
5bff3880,Jamie,"Can't attach images on the iOS app, it just crashes","Can't attach images on the iOS app, it just crashes. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,low,phone,2026-04-25T23:48:00,2026-04-26T14:48:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_mobile_upload_crash
892c6017,Ines,"Too many emails, I already turned these off once","Too many emails, I already turned these off once. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,urgent,phone,2026-06-18T23:57:00,2026-06-21T16:57:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_notification_spam
359a649b,Diego,Getting 429 errors with no explanation of why,Getting 429 errors with no explanation of why. This broke our production integration with no warning.,Technical / Bug,medium,chat,2026-05-18T10:35:00,2026-05-20T09:35:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_api_rate_limit_unclear
2bdcbc46,Sam,Reset link says expired immediately after I click it,"Reset link says expired immediately after I click it. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,web_form,2026-06-12T01:38:00,2026-06-12T21:38:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_password_reset_loop
3d41beb5,Riley,Reset link says expired immediately after I click it,"Reset link says expired immediately after I click it. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,urgent,chat,2026-05-17T17:36:00,2026-05-19T17:36:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_password_reset_loop
2a3988a5,Priya,Billed for a plan I already cancelled,"Billed for a plan I already cancelled. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,high,chat,2026-04-21T22:45:00,2026-04-22T21:45:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_invoice_confusion
51730c5f,Omar,Billed for a plan I already cancelled,"Billed for a plan I already cancelled. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,medium,web_form,2026-05-10T08:14:00,2026-05-11T00:14:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_invoice_confusion
c50b5611,Casey,"Locked out of my account, reset flow is broken","Locked out of my account, reset flow is broken. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,high,web_form,2026-05-09T18:38:00,2026-05-10T08:38:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_password_reset_loop
3c6bbc70,Noah,API key seems valid but every request fails,API key seems valid but every request fails. This broke our production integration with no warning.,Technical / Bug,high,email,2026-04-15T08:49:00,2026-04-18T06:49:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_api_rate_limit_unclear
6b8f2c1e,Grace,"Getting way too many notification emails, please stop","Getting way too many notification emails, please stop. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,urgent,email,2026-06-08T04:10:00,2026-06-09T22:10:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_notification_spam
20f94dd5,Taylor,Is there a Zapier integration,"Is there a Zapier integration. Just curious, not urgent.",General Inquiry,low,email,2026-05-25T20:00:00,2026-05-26T02:00:00,"Answered directly, no follow-up needed.",4,none
a1bc57a3,Elena,"Too many emails, I already turned these off once","Too many emails, I already turned these off once. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,urgent,web_form,2026-05-15T14:02:00,2026-05-17T12:02:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",4,rc_notification_spam
240d6717,Diego,Discount code not applying at checkout,"Discount code not applying at checkout. I double checked the code is correct, copy-pasted it directly from your email.",Billing,high,web_form,2026-05-12T09:24:00,2026-05-14T21:24:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
8455fcc0,Casey,"Export only includes data from the last 7 days, I need 90","Export only includes data from the last 7 days, I need 90. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,urgent,email,2026-04-01T05:55:00,2026-04-02T00:55:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_export_missing_data
7135485c,Lucas,Checkout won't accept any promo code I try,"Checkout won't accept any promo code I try. I double checked the code is correct, copy-pasted it directly from your email.",Billing,medium,phone,2026-05-08T20:19:00,2026-05-11T10:19:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
ca8eee3d,Drew,Reset link takes me to an error page,"Reset link takes me to an error page. This has happened every time I try to reset, not just once. Checked spam folder, nothing there.",Account Access,low,web_form,2026-06-19T19:43:00,2026-06-22T19:43:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_password_reset_loop
a744cd22,Noah,Downloaded export file is empty,"Downloaded export file is empty. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,high,phone,2026-06-06T15:40:00,2026-06-07T22:40:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_export_missing_data
f01913e8,Jordan,"Not sure how to set up my first project, no guidance","Not sure how to set up my first project, no guidance. Would help to have a clearer walkthrough, I almost gave up.",Onboarding,low,phone,2026-04-05T05:26:00,2026-04-06T04:26:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_onboarding_confusion
25b1a567,Alex,Exported report doesn't match what I see in the dashboard,"Exported report doesn't match what I see in the dashboard. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,medium,email,2026-06-16T01:28:00,2026-06-16T08:28:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_export_missing_data
d89ae8b3,Riley,"Too many emails, I already turned these off once","Too many emails, I already turned these off once. I've tried unsubscribing multiple times through the link in the email itself.",Product Feedback,urgent,phone,2026-05-28T01:29:00,2026-05-28T18:29:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_notification_spam
ae8fd999,Morgan,Invoice total doesn't match what the pricing page says,"Invoice total doesn't match what the pricing page says. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,urgent,email,2026-04-24T22:49:00,2026-04-25T20:49:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",3,rc_invoice_confusion
31ec605a,Sam,Applied WELCOME20 and got charged full price anyway,"Applied WELCOME20 and got charged full price anyway. I double checked the code is correct, copy-pasted it directly from your email.",Billing,medium,chat,2026-06-15T22:22:00,2026-06-18T05:22:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_checkout_promo_fail
7f70a7be,Omar,Photo upload freezes and then app quits,"Photo upload freezes and then app quits. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,low,phone,2026-04-29T08:27:00,2026-05-01T23:27:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_mobile_upload_crash
9a77bb3e,Sam,Export button spins forever and never downloads anything,"Export button spins forever and never downloads anything. This is blocking our monthly reporting, need this fixed urgently.",Technical / Bug,urgent,chat,2026-06-14T17:50:00,2026-06-14T23:50:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_export_missing_data
76b6b540,Alex,Billed for a plan I already cancelled,"Billed for a plan I already cancelled. Can you explain this line item, it doesn't match what we agreed on the call.",Billing,medium,email,2026-06-24T20:06:00,2026-06-26T15:06:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",2,rc_invoice_confusion
ed25c4ed,Ines,Upload gets stuck at 6% then app force closes,"Upload gets stuck at 6% then app force closes. Happens on every attempt, only on mobile, works fine on the website.",Technical / Bug,high,chat,2026-05-26T23:37:00,2026-05-28T10:37:00,"Resolved after troubleshooting with customer; workaround provided, underlying issue not yet fixed in product.",1,rc_mobile_upload_crash
